level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	170	164	2229	2891	-1	
3	1	1	1	0	0	170	164	2229	2891	-1	
4	1	1	1	1	0	1122	164	367	29	-1	
5	1	1	1	1	1	1122	164	82	28	96.750267	AFH
5	1	1	1	1	2	1216	164	114	28	96.630676	Master
5	1	1	1	1	3	1342	164	104	28	96.229942	Forms
5	1	1	1	1	4	1460	164	29	29	96.850449	©
4	1	1	1	2	0	643	314	1607	37	-1	
5	1	1	1	2	1	643	314	210	37	91.952019	2.5-0.025mg
5	1	1	1	2	2	960	314	20	28	96.062851	4
5	1	1	1	2	3	992	314	88	28	96.062851	times
5	1	1	1	2	4	1093	314	81	37	95.832314	daily
5	1	1	1	2	5	1449	314	81	28	96.881248	Take
5	1	1	1	2	6	1547	314	11	28	92.721153	|
5	1	1	1	2	7	1574	314	48	28	96.956635	tab
5	1	1	1	2	8	1634	314	41	37	96.528961	by
5	1	1	1	2	9	1687	314	105	28	96.804008	mouth
5	1	1	1	2	10	1797	310	16	46	96.742630	4
5	1	1	1	2	11	1835	314	87	28	96.319176	times
5	1	1	1	2	12	1936	314	81	37	96.683075	daily
5	1	1	1	2	13	2030	323	31	19	96.988617	as
5	1	1	1	2	14	2074	314	116	28	96.664917	needed
5	1	1	1	2	15	2203	314	47	28	96.953743	for
4	1	1	1	3	0	192	358	1392	45	-1	
5	1	1	1	3	1	192	358	394	45	91.484024	Diphenoxylate-atropine
5	1	1	1	3	2	962	371	31	19	95.691719	as
5	1	1	1	3	3	1006	362	116	28	96.482162	needed
5	1	1	1	3	4	1449	362	135	28	96.766357	diarrhea
4	1	1	1	4	0	193	410	159	35	-1	
5	1	1	1	4	1	193	410	159	35	92.860817	(Lomotil)
4	1	1	1	5	0	643	461	1670	37	-1	
5	1	1	1	5	1	643	461	145	37	87.270164	5/325mg
5	1	1	1	5	2	801	461	40	37	96.842270	by
5	1	1	1	5	3	961	461	98	37	96.342445	Every
5	1	1	1	5	4	1071	461	18	29	95.596886	6
5	1	1	1	5	5	1102	461	90	28	95.596886	hours
5	1	1	1	5	6	1449	461	81	28	96.969101	Take
5	1	1	1	5	7	1547	461	49	28	92.468872	1-2
5	1	1	1	5	8	1608	461	65	28	95.976082	tabs
5	1	1	1	5	9	1685	461	41	37	95.976082	by
5	1	1	1	5	10	1738	461	105	28	96.769966	mouth
5	1	1	1	5	11	1855	470	90	28	96.681244	every
5	1	1	1	5	12	1958	461	18	29	96.797310	6
5	1	1	1	5	13	1988	461	90	28	96.977501	hours
5	1	1	1	5	14	2092	470	31	19	96.666016	as
5	1	1	1	5	15	2136	461	117	28	96.670212	needed
5	1	1	1	5	16	2265	461	48	28	96.874046	for
4	1	1	1	6	0	192	505	1326	45	-1	
5	1	1	1	6	1	192	505	238	45	91.758545	Hydrocodone-
5	1	1	1	6	2	642	505	106	45	96.939796	mouth
5	1	1	1	6	3	962	518	31	19	95.691719	as
5	1	1	1	6	4	1006	509	116	28	96.482162	needed
5	1	1	1	6	5	1448	509	70	37	96.979233	pain
4	1	1	1	7	0	193	557	391	35	-1	
5	1	1	1	7	1	193	557	250	28	95.952110	acetaminophen
5	1	1	1	7	2	456	557	128	35	95.952110	(Norco)
4	1	1	1	8	0	170	597	2229	95	-1	
5	1	1	1	8	1	166	547	393	205	16.324318	fetes
5	1	1	1	8	2	627	547	530	205	27.049576	Tee
5	1	1	1	8	3	1242	547	86	205	57.025909	|
5	1	1	1	8	4	1464	547	223	205	0.000000	SaS
5	1	1	1	8	5	1720	547	326	205	0.000000	an
4	1	1	1	9	0	642	652	547	46	-1	
5	1	1	1	9	1	642	652	106	46	96.975990	mouth
5	1	1	1	9	2	961	656	38	28	96.698013	day
5	1	1	1	9	3	1031	656	19	28	96.835831	by
5	1	1	1	9	4	1084	656	105	28	96.733589	mouth
4	1	1	1	10	0	192	707	2109	37	-1	
5	1	1	1	10	1	192	707	165	28	93.280014	Lidocaine
5	1	1	1	10	2	371	707	185	37	92.211884	(xylocaine)
5	1	1	1	10	3	647	707	79	29	90.207199	10ml
5	1	1	1	10	4	961	707	98	37	96.773224	Every
5	1	1	1	10	5	1071	707	52	29	96.773224	6-8
